"id","vendor_id","pickup_datetime","dropoff_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","store_and_fwd_flag","trip_duration","dist_meters","wait_sec"
1,"Quito","2016-09-17 09:32:06","2016-09-17 10:05:51",0.632054633906495,0.52894747510808,-78.5494469183617,-0.361362602899222,"N",2025,24228,346
2,"Guadalajara Easy Taxi","2016-09-17 09:59:54","2016-09-17 10:06:23",0.327804230328055,0.391949867733989,-103.36659966,20.68697134,"N",389,2962,3675
3,"Monterrey","2016-09-17 10:06:52","2016-09-17 10:09:40",0.140909735466988,0.563279525176679,-100.165737267718,25.619387370531,"N",168,951,0
4,"Monterrey","2016-09-17 09:45:56","2016-09-17 10:13:34",0.207564729548657,0.590416254274665,-100.491720635433,25.676294314197,"N",1659,11082,358
5,"Monterrey","2016-09-17 10:12:00","2016-09-17 10:16:31",0.128881293812628,0.580418527061714,-100.104166,25.64386166,"N",272,2021,3614
6,"Monterrey","2016-09-17 10:18:20","2016-09-17 10:18:41",0.141188213205065,0.564267624153506,-100.186171270371,25.643129393024,"N",22,2502,517
7,"Monterrey","2016-09-17 08:40:23","2016-09-17 10:23:18",0.1579867090181,0.631889110598001,-100.2576123,25.72749166,"N",6175,3579,346
8,"Manta","2016-09-17 09:52:35","2016-09-17 10:32:47",0.797677022839611,0.0616423829046376,-80.70252338,-0.968167540000013,"N",2412,19933,114
9,"Monterrey","2016-09-17 09:48:30","2016-09-17 10:33:27",0.22359965737019,0.62679597019898,-100.49566598,25.68718998,"N",2698,4770,292
10,"Guadalajara Easy Taxi","2016-09-17 10:28:23","2016-09-17 10:35:03",0.327516769437136,0.390198193734171,-103.35945068,20.66955834,"N",401,2733,71
11,"Monterrey","2016-09-17 10:27:41","2016-09-17 10:36:13",0.129025024258087,0.579780755899872,-100.08192932,25.643473,"N",512,4251,3689
12,"Monterrey","2016-09-17 10:33:15","2016-09-17 10:42:40",0.215667533411415,0.616358160862228,-100.41319886,25.68681838,"N",566,3989,99
13,"Monterrey","2016-09-17 10:24:21","2016-09-17 10:50:06",0.138115974933376,0.6353743607649,-100.094773394302,25.701189800569,"N",1546,15200,111
14,"Monterrey","2016-09-17 10:33:30","2016-09-17 10:54:22",0.223734404662808,0.626167187089369,-100.452447,25.703845,"N",1252,10374,186
15,"Aguascalientes","2016-09-17 10:44:49","2016-09-17 10:57:26",0.267437443235223,0.479703740456072,-102.2684175,21.92395594,"N",758,4803,33
16,"Monterrey","2016-09-17 10:54:26","2016-09-17 11:02:25",0.218658923307533,0.628116414483352,-100.45557666,25.697666,"N",479,1259,230
17,"Monterrey","2016-09-17 10:19:04","2016-09-17 10:39:48",0.145329446664856,0.574121656537349,-100.125836429619,25.6686698947485,"N",1245,10338,297
18,"Monterrey","2016-09-17 11:17:59","2016-09-17 11:23:53",0.137029013439592,0.604375314959565,-100.295482976956,25.6944607319377,"N",355,16432,2434
19,"Guadalajara","2016-09-17 10:52:56","2016-09-17 11:32:13",0.338098923484064,0.403187521379087,-103.404412960752,20.6707680875893,"N",2358,25801,280
20,"Monterrey","2016-09-17 11:23:40","2016-09-17 11:41:23",0.211104091768088,0.620337465820638,-100.414666630267,25.6629526612061,"N",1063,7065,2531
21,"Monterrey","2016-09-17 11:30:43","2016-09-17 11:44:01",0.221003526199085,0.625520438669373,-100.45896,25.69870966,"N",798,948,39
22,"Monterrey","2016-09-17 11:56:02","2016-09-18 12:06:37",0.179995433479028,0.615397019037495,-100.26932972164,25.6769923902434,"N",635,6224,167
23,"Cali","2016-09-17 09:44:53","2016-09-18 12:11:15",0.417267449473518,0.72191197631924,-76.52784604,3.4165689,"N",8783,16041,3763
24,"Monterrey","2016-09-17 11:44:08","2016-09-18 12:12:07",0.217185686241577,0.612280043892426,-100.41716832,25.67875768,"N",1679,7701,259
25,"Guadalajara Easy Taxi","2016-09-17 11:54:38","2016-09-18 12:14:54",0.326034549218339,0.392416980738793,-103.316183,20.640228,"N",1216,11194,11086
26,"Monterrey","2016-09-18 12:18:51","2016-09-18 12:19:58",0.164436612758078,0.608121079999449,-100.315364977441,25.6695677201342,"N",68,4438,741
27,"Cali","2016-09-18 12:12:02","2016-09-18 12:22:50",0.414365891105812,0.724876180484862,-76.5395927266509,3.43528294481132,"N",649,3453,129
28,"Monterrey","2016-09-17 11:55:22","2016-09-18 12:29:11",0.204043333634908,0.603009951519995,-100.40824662,25.66981316,"N",2030,27555,77
29,"Monterrey","2016-09-18 12:24:01","2016-09-18 12:31:55",0.14347891717957,0.64183284647303,-100.15827402,25.75358866,"N",474,3474,69
30,"Monterrey","2016-09-18 12:20:19","2016-09-18 12:31:23",0.178701859469896,0.601429003951664,-100.285539966444,25.6326984304278,"N",665,7444,0
31,"Manta","2016-09-18 12:19:48","2016-09-18 12:33:30",0.772973352526325,0.0401816393649498,-80.7315204061779,-0.945600007802471,"N",823,8262,216
32,"Monterrey","2016-09-18 12:32:49","2016-09-18 12:43:01",0.166987828164978,0.568956600641553,-100.28920735138,25.6465138259757,"N",613,1977,24
33,"Monterrey","2016-09-18 12:43:13","2016-09-18 12:59:58",0.178755758386944,0.603530945504484,-100.303478249845,25.7934239622937,"N",1005,15775,57
34,"Ecuador","2016-09-18 01:04:01","2016-09-18 01:04:18",0.764951397039137,0.380864909236562,-79.91435524,-2.08627500000001,"N",18,120,2
35,"Monterrey","2016-09-18 01:10:33","2016-09-18 01:21:53",0.170473291467362,0.64395273708743,-100.315138766598,25.7938413994913,"N",680,8464,22
36,"Guadalajara","2016-09-18 12:37:04","2016-09-18 01:23:14",0.338242653929523,0.404121746089668,-103.39036986,20.6817695,"N",2770,28238,395
37,"Ecuador","2016-09-18 01:04:30","2016-09-18 01:26:18",0.764816649746519,0.381332022851218,-79.9014397,-2.20383648000001,"N",1309,14106,238
38,"Monterrey","2016-09-18 01:13:10","2016-09-18 01:37:10",0.143487900332411,0.641985550487361,-100.18216834,25.74485734,"N",1441,13596,317
39,"Bogotá","2016-09-18 01:54:11","2016-09-18 02:17:49",0.389653237639684,0.750601797324311,-74.1192589625,4.57232186250001,"N",1419,11935,293
40,"Medellín","2016-09-18 02:25:15","2016-09-18 02:42:07",0.400711498787195,0.789576176136133,-75.6138711,6.28311729999998,"N",1012,5880,345
41,"Monterrey","2016-09-18 02:36:05","2016-09-18 03:20:06",0.141933814890884,0.669526092963217,-100.33123694,25.7963286,"N",2641,33001,439
42,"Bogotá","2016-09-18 03:31:05","2016-09-18 03:44:06",0.383706390458812,0.748257394995333,-74.1161250808708,4.57257787972134,"N",782,7101,139
43,"Monterrey","2016-09-18 12:12:10","2016-09-18 04:01:09",0.209729669383385,0.615001783096687,-100.427711054843,25.6746289486214,"N",13740,4063,127
44,"Quito","2016-09-18 04:03:20","2016-09-18 04:26:30",0.436886655278688,0.792405599631,-78.4907860717584,-0.104836397868568,"N",1390,16680,456
45,"México DF Taxi de Sitio","2016-09-16 07:14:12","2016-09-18 04:41:40",0.029958814725386,0.321137049492431,-99.2027286999851,19.4303531971542,"N",120449,12373,242
46,"Ecuador","2016-09-18 06:17:54","2016-09-18 06:23:41",0.73130050649602,0.152219345827778,-78.7054978,-1.6520902,"N",348,2727,130
47,"Quito","2016-09-16 06:29:36","2016-09-18 06:41:33",0.478846962199911,0.104321296304958,-78.4702767576271,-0.131082699999993,"N",130317,1987,290
48,"Monterrey","2016-09-18 06:47:04","2016-09-18 06:57:25",0.155642106126548,0.588646666841358,-100.289616471959,25.6798238152799,"N",621,8303,98
49,"Quito","2016-09-18 05:57:47","2016-09-18 06:30:00",0.7131096219926,0.679550596775297,-78.4302197,-0.20193430000002,"N",1933,25146,302
50,"Monterrey","2016-09-18 07:03:14","2016-09-18 07:18:00",0.167814278226368,0.611363814542212,-100.238507440923,25.6681995584434,"N",886,11657,507
51,"Monterrey","2016-09-18 07:25:58","2016-09-18 07:35:48",0.157465686153311,0.602650645294733,-100.253931285737,25.6798415600858,"N",591,5784,586
52,"Monterrey","2016-09-18 07:11:13","2016-09-18 07:42:04",0.140451594672087,0.633110744943926,-100.29951234,25.75304066,"N",1852,20824,357
53,"Quito","2016-09-18 07:58:42","2016-09-18 08:14:29",0.67470664359649,0.380694233101807,-78.5045576893491,-0.222462426627215,"N",948,4625,314
54,"Quito","2016-08-27 04:19:02","2016-08-27 04:44:12",0.654602347537895,0.229743518261933,-78.518763576,-0.22879432800002,"N",1510,5820,630
55,"Monterrey","2016-09-18 08:54:38","2016-09-18 09:00:08",0.129016041105246,0.580723938578542,-100.09647866,25.64741934,"N",330,2441,113
56,"Monterrey","2016-09-18 09:44:29","2016-09-18 09:49:13",0.128441119323409,0.581191038513532,-100.09285166,25.64078866,"N",285,2793,3641
57,"Monterrey","2016-09-18 09:58:55","2016-09-18 10:09:15",0.128773495978533,0.580840713565906,-100.08514932,25.61906732,"N",621,7401,14
58,"México DF Taxi Libre","2016-09-18 06:16:33","2016-09-18 10:11:43",0.120014921958368,0.261983756548746,-99.2899491307845,19.3265383409086,"N",14110,1700,461
59,"Monterrey","2016-09-18 10:11:16","2016-09-18 10:17:46",0.122341558544238,0.563028009046736,-100.09469598,25.62144634,"N",391,2311,3737
60,"México DF Taxi Libre","2016-09-18 10:11:50","2016-09-18 10:23:11",0.11972746106745,0.264759521450653,-99.2718736003419,19.3285303084122,"N",681,2848,129
61,"Quito","2016-09-18 10:08:57","2016-09-18 10:31:18",0.528092606075343,0.119080588334049,-78.518420178,-0.191547490000018,"N",1341,7593,510
62,"México DF Taxi Libre","2016-09-18 10:23:38","2016-09-18 10:30:53",0.11874829740776,0.265927318796853,-99.2798998325071,19.3262558086244,"N",436,1409,106
63,"México DF Taxi Libre","2016-09-18 10:44:18","2016-09-18 10:51:40",0.119314236036755,0.265082911496022,-99.2917049335146,19.3227535991281,"N",442,1567,85
64,"México DF Taxi Libre","2016-09-18 10:58:07","2016-09-18 10:59:46",0.119736444220291,0.262576638424323,-99.28928032,19.32597834,"N",100,797,19
65,"México DF Taxi Libre","2016-09-18 11:00:00","2016-09-18 11:05:45",0.119511865399261,0.264741555336771,-99.2825491942282,19.3281171303978,"N",345,676,169
66,"México DF Taxi Libre","2016-09-18 11:08:03","2016-09-18 11:17:06",0.119556781163467,0.267391556851715,-99.289828,19.31916966,"N",544,3771,37
67,"Guadalajara Easy Taxi","2016-09-18 11:05:05","2016-09-18 11:35:36",0.324938604571713,0.384934186602909,-103.41357578,20.75434576,"N",1831,35324,27
68,"Monterrey","2016-09-18 11:40:50","2016-09-18 11:49:28",0.128000944834191,0.580472423212937,-100.09332066,25.62992168,"N",519,4820,3664
69,"Quito","2016-09-18 11:06:58","2016-09-18 11:53:59",0.685477443853083,0.543912751777789,-78.3610775258975,-0.124626881243603,"N",2821,46418,302
70,"Default Fare","2016-09-18 12:03:19","2016-09-18 12:03:52",0.437892768396902,0.539475272603932,-78.4421443968092,-0.244787196246529,"N",33,37,14
71,"Panamá UberX","2016-09-15 06:26:18","2016-09-18 12:04:42",0.749365626859664,0.00886637181887124,-79.5112896545455,8.99115598181818,"N",236304,12906,224
72,"Quito","2016-09-18 11:54:04","2016-09-18 12:12:23",0.423888033117479,0.0738235296227065,-78.3927347150783,-0.0894069686617181,"N",1100,8150,390
73,"Panamá UberSUV","2016-09-18 12:13:27","2016-09-18 12:19:42",0.749742919278994,0.00469818893067455,-79.5110593562768,8.98037252072322,"N",375,2499,106
74,"Monterrey","2016-09-18 12:14:30","2016-09-18 12:20:21",0.12912383893934,0.580741903961367,-100.10171,25.663747,"N",352,2429,3711
75,"Quito","2016-09-18 12:21:16","2016-09-18 12:23:05",0.603039050229435,0.360599340772407,-78.4997571886792,-0.207292753066043,"N",109,827,29
76,"Quito","2016-09-18 12:23:20","2016-09-18 12:31:34",0.616289200670198,0.378053244060767,-78.5067655146226,-0.226036622877372,"N",495,2549,129
77,"Panamá UberX","2016-09-18 12:04:53","2016-09-18 12:42:11",0.748808671383509,0.0104833393071847,-79.514895,9.06504569999999,"N",2239,5920,56
78,"Quito","2016-09-17 04:15:09","2016-09-18 12:28:12",0.658662732622115,0.533995789809664,-78.5096279676312,-0.238126488445828,"N",72784,251,2418
79,"Monterrey","2016-09-18 01:09:26","2016-09-18 01:12:45",0.121946299819225,0.577409324471371,-100.08123232,25.65714566,"N",200,1580,3626
80,"Puebla Easy Taxi","2016-09-18 01:02:04","2016-09-18 01:16:43",0.000332376655124223,0.227327069370418,-98.1775661,19.0071621,"N",879,8174,237
81,"México DF Radio Taxi","2016-09-18 01:06:08","2016-09-18 01:26:34",0.0817017750906705,0.294313742227065,-99.176534111828,19.3414101494624,"N",1226,5662,572
82,"Monterrey","2016-09-18 01:22:31","2016-09-18 01:33:27",0.12394055974997,0.574507912704312,-100.08422198,25.65873568,"N",657,3583,7428
83,"Quito","2016-09-18 01:01:53","2016-09-18 01:35:58",0.46869599948936,0.125584376163247,-78.4865753319747,-0.166789954991163,"N",2045,3745,853
84,"Monterrey","2016-09-18 01:28:40","2016-09-18 01:37:03",0.158489765577207,0.655576189371776,-100.258441688,25.774884392,"N",504,2029,125
85,"Quito","2016-09-18 01:14:07","2016-09-18 01:38:05",0.544145500202559,0.117921764096053,-78.482142274,-0.0966767159999997,"N",1439,8883,612
86,"Monterrey","2016-09-18 01:36:00","2016-09-18 01:47:47",0.121766636762401,0.583625347164195,-100.09851934,25.64741498,"N",707,4667,3819
87,"Monterrey","2016-09-18 01:37:51","2016-09-18 01:50:46",0.16046605920227,0.657085260033472,-100.24345322,25.777874162,"N",776,2058,108
88,"Quito","2016-09-18 01:36:07","2016-09-18 02:14:11",0.583815103149277,0.168074548607014,-78.4853502114285,-0.195777357142864,"N",2284,3513,65
89,"Quito","2016-09-18 02:34:21","2016-09-18 02:38:29",0.703093406574667,0.55617419034564,-78.553640164978,-0.254977191498533,"N",249,1063,50
90,"Cuenca","2016-09-18 02:40:47","2016-09-18 02:54:26",0.736196324794471,0.690626032431202,-78.9746559,-2.89464816000001,"N",819,4817,329
91,"Monterrey","2016-09-18 02:32:45","2016-09-18 02:56:14",0.161418273403437,0.65977104538048,-100.257451884,25.775750924,"N",1409,3528,261
92,"Monterrey","2016-09-18 02:56:18","2016-09-18 03:05:58",0.16031334560397,0.657354736889399,-100.265229712,25.760636948,"N",580,2629,245
93,"Monterrey","2016-09-18 07:36:30","2016-09-18 03:16:18",0.160591823342047,0.610878751881726,-100.257377966079,25.6801046470941,"N",27589,14406,262
94,"Monterrey","2016-09-18 03:13:53","2016-09-18 03:22:21",0.124632262518742,0.593164952419077,-100.08312432,25.65182866,"N",509,5729,3652
95,"Monterrey","2016-09-18 02:26:52","2016-09-18 03:27:18",0.157357888319217,0.658872789572651,-100.270622253024,25.674699392574,"N",3626,14461,456
96,"Monterrey","2016-09-18 03:24:30","2016-09-18 03:36:11",0.122709867810727,0.572486804565196,-100.072554,25.59782934,"N",701,8905,3663
97,"Guadalajara Easy Taxi","2016-09-18 02:45:31","2016-09-18 03:37:26",0.323779777855199,0.386263663115151,-103.40145068,20.65374466,"N",3116,25150,152309
98,"Monterrey","2016-09-18 03:38:01","2016-09-18 03:47:29",0.121182731827723,0.560827242447364,-100.08531834,25.637521,"N",569,7958,3622
99,"Monterrey","2016-09-18 03:17:18","2016-09-18 03:31:02",0.145787587459757,0.58673335593909,-100.172847094368,25.6155884434438,"N",825,7179,68
100,"Ecuador","2016-09-18 03:23:18","2016-09-18 03:56:17",0.765580217738021,0.410005562701082,-79.9649109733333,-2.00395547333333,"N",1979,18079,769
